pt,en,domain,source,note
abundante,abundant.,legal-general,Noronha,
abusado,abused.,legal-general,Noronha,
abusador,abuser.,legal-general,Noronha,
abusar,to abuse; misuse.,legal-general,Noronha,
"abuse of authority, abuse of discretion",abuso de autoridade,legal-general,Noronha,
abuse of discretion,"abuso de poder, de autoridade",legal-general,Noronha,
abuse of office,abuso de função,legal-general,Noronha,
abuse of privilege,abuso de privilégio,legal-general,Noronha,
"abuse of process, malicious use of regular legal proceeding, malicious use of process","lide temerária, abuso de direito",legal-general,Noronha,
abusivo,abusive,legal-general,Noronha,
abusivo,abusive.,legal-general,Noronha,
abuso,"abuse, misuse",legal-general,Noronha,
abuso,abuse; misuse.,legal-general,Noronha,
abuso de autoridade,abuse of discretion; abuse of authority; abuse of office.,legal-general,Noronha,
abuso de confiança,breach of trust; betrayal of confidence; embezzlement.,legal-general,Noronha,
abuso de convenção,treaty shopping,legal-general,Noronha,
abuso de crédito,excessive borrowing.,legal-general,Noronha,
abuso de demandar,excessive litigiousness.,legal-general,Noronha,
abuso de direito,abuse of process; malicious use of regular legal proceeding.,legal-general,Noronha,
abuso de direito de voto P),abuse of voting rights; voting rights exercised against the company's,legal-general,Noronha,
abuso de firma ou razão social,ultra vires act.,legal-general,Noronha,
abuso de função,abuse of office.,legal-general,Noronha,
abuso de liberdade de imprensa,abuse of the freedom of press.,legal-general,Noronha,
abuso de poder,abuse of power; abuse of discretion; abuse of authority.,legal-general,Noronha,
abuso de posição dominante,abuse of a dominant position,competition,CADE,
abuso de privilégio,abuse of privilege.,legal-general,Noronha,
abuso de álcool,excessive alcoholic consumption.,legal-general,Noronha,
abuso do direito de ação judicial,sham litigation,competition,CADE,
abuso do direito de petição,sham litigation,competition,CADE,
abutment,contraforte,legal-general,Noronha,
abutment,"encontro (pontes, viadutos)",legal-general,Noronha,
abutment,estribo (ponte),legal-general,Noronha,
abutment,ombreira de barragem,legal-general,Noronha,
abutment wall,muro de arrimo,legal-general,Noronha,
abígeo,cattle thief; abigeus.,legal-general,Noronha,
acabamento,completion; finishing.,legal-general,Noronha,
academic liberty,liberdade de cátedra,legal-general,Noronha,
acadêmico de direito,law student.,legal-general,Noronha,
acalmar,to allay; to make quiet.,legal-general,Noronha,
acanhado,bashful.,legal-general,Noronha,
acarear,to confront witnesses.,legal-general,Noronha,
acareação,confrontation of witnesses.,legal-general,Noronha,
"acareação (testemunhas, suspeitos)",confrontation of witness,legal-general,Noronha,
acarretar; impor,entail,legal-general,Noronha,
acaso,chance; accident; fortune.,legal-general,Noronha,
acatamento,acceptance; respect; regard; deference.,legal-general,Noronha,
acatar,to accept; fulfill; respect; venerate; obey,legal-general,Noronha,
acatar,to comply with; accept; honor; defer; observe.,legal-general,Noronha,
acautelado,cautious; prudent.,legal-general,Noronha,
acautelar,to warn; caution; protect; safeguard.,legal-general,Noronha,
ACC,Merger Control Agreement,competition,CADE,
accelerated debt,antecipação de vencimento das dívidas,legal-general,Noronha,
acceleration,"adiantamento, antecipação",legal-general,Noronha,
acceleration case,vencimento antecipado,legal-general,Noronha,
acceleration clause (v. early),cláusula de vencimento,legal-general,Noronha,
acceleration of maturity,"pagamento antecipado ou pagamento mais rápido de uma dívida, encurtamento do prazo para pagamento de uma dívida",legal-general,Noronha,
acceleration of the loan,antecipação do empréstimo,legal-general,Noronha,
accelerator,catalisador (químico),legal-general,Noronha,
accept (to),"aceitar, receber, acolher, admitir",legal-general,Noronha,
acceptance,"aceitação, aceite",legal-general,Noronha,
acceptance (escreve e assina) (não é um endosso),aceite (na frente) e assinatura - saque aceito,legal-general,Noronha,
acceptance of lump-sum settlement,declaração de indenização,legal-general,Noronha,
acceptance slip,boletim de indenização,legal-general,Noronha,
acceptor,aceitante,legal-general,Noronha,
access pier,molhe de acesso,legal-general,Noronha,
access to counsel; benefit of counsel,direito de ser assistido por advogado,legal-general,Noronha,
access to Court,direito de recorrer ao Poder Judiciário,legal-general,Noronha,
accessories,bens acessórios,legal-general,Noronha,
"accessory (in accessory to the murder); complice; accomplice, abettor",cúmplice,legal-general,Noronha,
accessory agreement,pacto acessório,legal-general,Noronha,
accessory obligation,obrigação subsidiária,legal-general,Noronha,
accident,acidente,legal-general,Noronha,
accident insurance,seguro contra acidentes,legal-general,Noronha,
accident report,boletim de ocorrência de acidente,legal-general,Noronha,
accident risk,risco de acidente,legal-general,Noronha,
