pt,en,domain,source,note
Contrato de câmbio,Foreign currency exchange agreement,legal-mixed,TIPS,
contrato de depósito de ações,escrow agreement,legal-general,Noronha,
contrato de depósito em garantia,guarantee deposit agreement; escrow agreement,legal-general,Noronha,
contrato de distribuição,distribution agreement; distributorship agreement.,legal-general,Noronha,
contrato de distribuição,distributor/distribution agreement,legal-general,Noronha,
contrato de distribuição da produção,production sharing agreement,legal-general,Noronha,
contrato de distribuição de títulos,underwriting agreement,legal-general,Noronha,
contrato de edição P),publishing agreement.,legal-general,Noronha,
contrato de empreitada,turn-key construction agreement.,legal-general,Noronha,
contrato de empréstimo,loan agreement,legal-general,Noronha,
contrato de empréstimo,loan agreement.,legal-general,Noronha,
contrato de exclusividade,exclusivity agreement,competition,CADE,
contrato de exclusividade,exclusivity agreement; lock-out agreement.,legal-general,Noronha,
contrato de experiência,probation contract,legal-general,Noronha,
contrato de fabricação sob encomenda,custom-made manufacture agreement,legal-general,Noronha,
contrato de fiança,guarantee agreement.,legal-general,Noronha,
contrato de financiamento,advance facility agreement; credit facility agreement,legal-general,Noronha,
contrato de fornecimento,supply contract,legal-general,Noronha,
contrato de fornecimento de tecnologia,technology agreement.,legal-general,Noronha,
contrato de fornecimento de tecnologia industrial,agreement for the supply of industrial technology,legal-general,Noronha,
contrato de franquia,franchise agreement.,legal-general,Noronha,
contrato de fretamento P),charter party.,legal-general,Noronha,
contrato de futuros a curto prazo,front contracts,legal-general,Noronha,
contrato de futuros a longo prazo,back contracts,legal-general,Noronha,
contrato de garantia,collateral agency agreement,legal-general,Noronha,
contrato de garantia de emissão,underwriting agreement.,legal-general,Noronha,
contrato de gaveta,off-the-record agreement,legal-general,Noronha,
contrato de gestão de bens e/ou valores,agreement for the administration of property and/or securities,legal-general,Noronha,
contrato de industrialização por terceiros,manufacture by third parties agreement,legal-general,Noronha,
contrato de lançamento de títulos,securities underwriting agreement.,legal-general,Noronha,
contrato de licenciamento a título oneroso,remunerated license agreement,legal-general,Noronha,
contrato de licenciamento de marcas,trademark license agreement.,legal-general,Noronha,
contrato de licenciamento de marcas gratuito,royalty-free trademark license agreement,legal-general,Noronha,
contrato de licenciamento de uso de marca,trademark license agreement,legal-general,Noronha,
contrato de licença para exploração de patente,patent license agreement,legal-general,Noronha,
contrato de linha de crédito,line of credit agreement.,legal-general,Noronha,
contrato de locação,lease,legal-general,Noronha,
Contrato de Locação,Lease Agreement,legal-mixed,TIPS,Renting property.
contrato de locação,lease contract,competition,CADE,
contrato de locação de bens,hire agrement; rental agreement.,legal-general,Noronha,
contrato de locação de imóvel,lease contract.,legal-general,Noronha,
contrato de locação de serviços,service agreement.,legal-general,Noronha,
Contrato de manutenção,Maintenance contract,legal-mixed,TIPS,"A legal agreement specifying the upkeep of property, equipment, highways, or software systems."
contrato de mediação P),brokerage agreement.,legal-general,Noronha,
contrato de mútuo,loan agreement,legal-general,Noronha,
contrato de mútuo,loan agreement.,legal-general,Noronha,
contrato de opção de compra de quotas,option agreement for the purchase of quotas; quota purchase option agreement,legal-general,Noronha,
contrato de participação e compromisso de financiamento de capital de giro,capital participation agreement and working capital financing commitment,legal-general,Noronha,
contrato de participação e garantia,security and sharing agreement,legal-general,Noronha,
contrato de participação nos custos,cost-sharing agreement,legal-general,Noronha,
contrato de penhor,pledge agreement,legal-general,Noronha,
contrato de penhor,pledge agreement.,legal-general,Noronha,
contrato de penhor de quotas,quota pledge agreement,legal-general,Noronha,
contrato de permuta,swap agreement.,legal-general,Noronha,
contrato de permuta de ações,share swap agreement,legal-general,Noronha,
contrato de permuta de participações e outras avenças,agreement for quota swap and other covenants,legal-general,Noronha,
contrato de prestação de assistência técnica,technical assistance agreement,legal-general,Noronha,
contrato de prestação de garantia,collateral agreement,legal-general,Noronha,
contrato de prestação de garantia fidejussória,personal guarantee agreement,legal-general,Noronha,
Contrato de Prestação de Serviços,Service Agreement,legal-mixed,TIPS,Corporate and technical service arrangements.
contrato de prestação de serviços,service agreement; agreement for provisional services (temporários),legal-general,Noronha,
contrato de prestação de serviços de assistência técnica,technical service agreement,legal-general,Noronha,
contrato de promessa de mútuo,loan commitment agreement,legal-general,Noronha,
contrato de pré-financiamento para exportações,facility agreement,legal-general,Noronha,
contrato de recompra,buy-back agreement.,legal-general,Noronha,
contrato de repasse de empréstimo externo com outorga de garantia e outras avenças,foreign loan onlending agreement with guarantee and and other covenants,legal-general,Noronha,
contrato de representação,agency contract.,legal-general,Noronha,
contrato de representação comercial,agency agreement,legal-general,Noronha,
contrato de representação comercial,agency agreement; comercial representation agreement.,legal-general,Noronha,
contrato de risco,profit-sharing agreement; risk contract,legal-general,Noronha,
contrato de risco,risk contract; hazardous contract; aleatory contract.,legal-general,Noronha,
contrato de seguro,insurance contract.,legal-general,Noronha,
contrato de seguro de saúde,healthcare insurance agreement,legal-general,Noronha,
contrato de serviços especializados,specialized technical service agreement,legal-general,Noronha,
contrato de serviços técnicos,technical service agreement,legal-general,Noronha,
contrato de sigilo,nondisclosure agreement,legal-general,Noronha,
contrato de sociedade,partnership contract; incorporation papers.,legal-general,Noronha,
contrato de subscrição,subscription agreement.,legal-general,Noronha,
contrato de trabalho,employment contract,legal-general+legal-mixed,Noronha+TIPS,Corporate human resources and labor law compliance.
contrato de trabalho,employment contract; labor contract.,legal-general,Noronha,
contrato de trabalho por tempo indeterminado,employment contract for indefinite term,legal-general,Noronha,
contrato de transferência de ações,share transfer agreement,legal-general,Noronha,
contrato de transferência de tecnologia,transfer of technology agreement,legal-general,Noronha,
contrato de troca,barter contract.,legal-general,Noronha,
contrato em aberto,open contract.,legal-general,Noronha,
contrato epistolar,letter agreement,legal-general,Noronha,
contrato fiduciário,trust agreement USA); trust indenture UK).,legal-general,Noronha,
contrato ilícito,illegal contract.,legal-general,Noronha,
contrato inominado,innominate contract.,legal-general,Noronha,
contrato judicial,contract of record.,legal-general,Noronha,
contrato marítimo,maritime agreement,legal-general,Noronha,
contrato misto,mixed contract.,legal-general,Noronha,
contrato não-aleatório,certain contract,legal-general,Noronha,
contrato oneroso,onerous contract.,legal-general,Noronha,
contrato para entrega de unidade industrial pronta p/ funcionamento,turn-key contract,legal-general,Noronha,
contrato para financiamento externo de importação,foreign import credit facility agreement,legal-general,Noronha,
contrato permanente,standing agreement,legal-general,Noronha,
contrato pluremo,multilateral agreement,legal-general,Noronha,
Contrato por Prazo Determinado,Fixed Term Contract,legal-mixed,TIPS,Non-permanent employment.
contrato preliminar,memorandum of understanding; proposal; heads of agreement.,legal-general,Noronha,
contrato principal,principal contract.,legal-general,Noronha,
contrato principal (p/ abertura de conta),account master agreement,legal-general,Noronha,
contrato privado,contract not officially recorded.,legal-general,Noronha,
contrato real,real contract.,legal-general,Noronha,
contrato sinalagmático,synallagmatic contract.,legal-general,Noronha,
contrato sindical,union contract,legal-general,Noronha,
contrato social,articles of association,legal-general,Noronha,
contrato social,articles of incorporation; articles of association; social contract.,legal-general,Noronha,
contrato social,articles of organization,competition,CADE,
Contrato Social,Social Contract,legal-mixed,TIPS,Corporate constitution in Brazil.
Contrato Social (LTDA/ Sociedade Limitada),Certificate of Incorporation,legal-mixed,TIPS,
Contrato Social (Sociedade limitada),Articles of association (AM)/Memorandum of association (BR),legal-mixed,TIPS,
Contrato Social / Estatuto Social,Articles of Association,legal-mixed,TIPS,Corporate governance and internal management rules.
Contrato social / Estatuto social / Memorial de constituição,Memorandum of association,legal-mixed,TIPS,A compulsory document governing a company's external affairs and constitution.
"Contrato Social de Sociedade Limitada, com Emendas, Alterações e Atualizações",Amended and Restated Limited Liability Company Agreement of…,legal-mixed,TIPS,
contrato solene,covenant; formal contract; contract under seal.,legal-general,Noronha,
contrato tácito,implied contract; tacit agreement.,legal-general,Noronha,
contrato unilateral,unilateral contract.,legal-general,Noronha,
contrato verbal,verbal contract; oral contract.,legal-general,Noronha,
contratos coletivos,collective contracts,legal-general,Noronha,
contratos com partes relacionadas,insider contracts,legal-general,Noronha,
contratos de operações no mercado a vista e de futuros,spot and forward contract agreements,legal-general,Noronha,
contratos públicos a executar,public contracts to perform,legal-general,Noronha,
contratual,contractual.,legal-general,Noronha,
contravalor,equivalent,legal-general,Noronha,
contravene,"infringir, transgredir, contravir",legal-general,Noronha,
contraventor,contravener; offendor; transgressor; law-breaker.,legal-general,Noronha,
contravenção,contravention; breach; infraction; misdemeanor.,legal-general,Noronha,
contravenção,misconduct,legal-general,Noronha,
contravenção,misdemeanor; petty offense,legal-general,Noronha,
contravenção sindical patronal,employer's union dues,legal-general,Noronha,
contravir,to trangress; infringe.,legal-general,Noronha,
contribuinte,taxpayer,competition+legal-general,CADE+Noronha,
contribuinte,taxpayer.,legal-general,Noronha,
contribuir,to contribute; pay; collect.,legal-general,Noronha,
contribuição,assessment,legal-general,Noronha,
contribuição,due; contribution; tax; assessment; subscription.,legal-general,Noronha,
contribuição assistencial,compulsory union dues; union support dues (sindicato),legal-general,Noronha,
contribuição confederativa,union confederation dues (sindicato),legal-general,Noronha,
contribuição de aposentadoria,pension contribution,legal-general,Noronha,
contribuição de melhoria,special assessment.,legal-general,Noronha,
contribuição para fiscal,social insurance contribution,legal-general,Noronha,
contribuição parafiscal,charge; due.,legal-general,Noronha,
contribuição pecuniária,financial contribution,competition,CADE,
contribuição sindical,union dues,legal-general,Noronha,
contribuição sindical,union dues.,legal-general,Noronha,
contribuição sindical patronal,employer's union contribution,legal-general,Noronha,
contribuição sobre lucro (CSL),contribution on profits,legal-general,Noronha,
Contribuição social,Social contribution tax,legal-mixed,TIPS,
contribuição social,social insurance contribution; contribution; payroll; taxes; entitlement(s); payroll tax(es),legal-general,Noronha,
contribuição social e imposto de renda,income tax and social contribution,legal-general,Noronha,
contribuição à Previdência Social,social security contribution,legal-general,Noronha,
contribuições a recolher,contributions payable,legal-general,Noronha,
contribution to funeral expenses,lutuosa,legal-general,Noronha,
"contribution, quota","quota, participação, subvenção",legal-general,Noronha,
contributory negligence,negligência contribuinte,legal-general,Noronha,
contributory sickness fund,caixa de previdência,legal-general,Noronha,
control,controle,legal-general,Noronha,
Control Law,Lei de Inspeção,legal-general,Noronha,
control of line limits,controle máximo,legal-general,Noronha,
Controlada,Affiliate,legal-mixed,TIPS,
Controlada,Wholly owned subsidiary,legal-mixed,TIPS,
controlada (bal.),controlled entities,legal-general,Noronha,
controlador acionário,controlling shareholder,competition,CADE,
controlador garantidor,Controlling guarantor,competition,CADE,
controlador(a) de dados pessoais,personal data controller,competition,CADE,
controladora,controlling; lead company,legal-general,Noronha,
controladoria,comptroller's office,competition,CADE,
controladoria,controllership,competition,CADE,
Controladoria Geral da União,Office of the Comptroller General of Brazil,competition,CADE,
Controladoria Geral da União,Office of the Comptroller General of Brazil (CGU),competition,CADE,
Controladoria-Geral da União (CGU),Office of the Comptroller General of Brazil (CGU),competition,CADE,
controlar,to control; manage; direct; supervise; check; verify.,legal-general,Noronha,
controlar preços,to administer prices; control prices.,legal-general,Noronha,
controle,control; management; supervision.,legal-general,Noronha,
controle,control; monitoring; supervision,legal-general,Noronha,
controle acionário,controlling interest,competition,CADE,
controle acionário,share control,legal-general,Noronha,
controle acionário da ...,interest in,legal-general,Noronha,
controle analítico de saldos,analytical balance control,competition,CADE,
controle de inventário,inventory control.,legal-general,Noronha,
controle de natalidade,birth control.,legal-general,Noronha,
controle de posições,position control,competition,CADE,
controle de preço,price control.,legal-general,Noronha,
controle de qualidade,quality control.,legal-general,Noronha,
controle ou propriedade de patentes,patent control or ownership,competition,CADE,
controle sintético de saldos,synthetical balance control,competition,CADE,
controle sociedetário,controlling interest,competition,CADE,
controle societário,controlling interest,competition,CADE,
controle societário,controlling interest.,competition,CADE,
controlled company,sociedade controlada,legal-general,Noronha,
"controlled company, subsidiary company","companhia subsidiária, companhia controlada por outra",legal-general,Noronha,
controller,controlador,competition,CADE,
controlling shareholder,acionista controlador,legal-general,Noronha,
controverso,controverting; disputed; controversial.,legal-general,Noronha,
controversy (action),"controvérsia, polêmica, debate, discussão, disputa",legal-general,Noronha,
controverter,to controvert; invert.,legal-general,Noronha,
controvérsia,controversy; debate.,legal-general,Noronha,
controvérsia,dispute,legal-general,Noronha,
contrário,adverse; contrary; contravening.,legal-general,Noronha,
contumaz,contumacious; defaulter; perverse; contumax.,legal-general,Noronha,
contumácia,contumacy; perversity; contempt of court.,legal-general,Noronha,
contumácia processual,contempt of court,legal-general,Noronha,
contumélia,contumely; reproach; insult.,legal-general,Noronha,
contundente,contusive; huising; contundent.,legal-general,Noronha,
contusão,bruise; contusion.,legal-general,Noronha,
contábil,accounting,competition,CADE,
contábil (adj.),book,legal-general,Noronha,
contíguo,adjoining; near; proximate; contiguous.,legal-general,Noronha,
contínuo,continuing; continuous; unceasing.,legal-general,Noronha,
convalescença,convalescence.,legal-general,Noronha,
convalescer,to cure; recover; convalesce.,legal-general,Noronha,
convalidar,revalidate,legal-general,Noronha,
convalidar,to confirm; ratify; validate; convalidate.,legal-general,Noronha,
convalidação,conformation; ratification; acquiescence; convalidation.,legal-general,Noronha,
convalidação,revalidation,legal-general,Noronha,
convencer,to convince; persuade.,legal-general,Noronha,
convencimento,conviction; persuation.,legal-general,Noronha,
convencimento motivado,"""This methodology is known in Brazil",competition,CADE,
convencional,conventional.,legal-general,Noronha,
convencionar,to agree; contract; stipulate.,legal-general,Noronha,
convened,convocada,legal-general,Noronha,
conveniente,expedient; desirable; advisable; appropriate,legal-general,Noronha,
conveniente,fitting; proper; appropriate; opportune; becoming.,legal-general,Noronha,
conveniência,advisability; appropriateness; expedience,legal-general,Noronha,
conveniência,convenience; suitability.,legal-general,Noronha,
conveniência e oportunidade,doable and convenient,competition,CADE,
"convention, covenant","convenção, acordo, convênio, contrato, uso, costume, praxe",legal-general,Noronha,
conventional heir,herdeiro convencional,legal-general,Noronha,
conventional mortgage,hipoteca convencional; (Portugal) hipoteca voluntária,legal-general,Noronha,
convento,convent; monastery.,legal-general,Noronha,
convenção,convention.,legal-general,Noronha,
convenção,convention; agreement; pact; collective bargaining agreement,legal-general,Noronha,
convenção,convention; agreement; pact; limitations to principles (acct),legal-general,Noronha,
convenção coletiva de trabalho,collective convention,legal-general,Noronha,
convenção internacional,international convention.,legal-general,Noronha,
conversação simultânea,conference call,legal-general,Noronha,
conversion,conversão,legal-general,Noronha,
converso,converted.,legal-general,Noronha,
conversão,conversion,legal-general,Noronha,
conversão,conversion; transformation; reduction.,legal-general,Noronha,
conversão cambial,exchange conversion.,legal-general,Noronha,
conversão de dívida em investimento,debt conversion; equity conversion; debt equity conversion,legal-general,Noronha,
conversão de dívida em projeto de preservação ambiental,debt-for-nature swap,legal-general,Noronha,
convert (to),"converter, trocar, cambiar",legal-general,Noronha,
converter,convert,competition,CADE,
converter,to convert; transform.,legal-general,Noronha,
converter (moeda),exchange into,legal-general,Noronha,
converter bens em direitos,realize one's assets (to),legal-general,Noronha,
convertible,"conversível, trocável, convertível, permutável",legal-general,Noronha,
convertible bond,obrigação conversível,legal-general,Noronha,
convertible debenture (bond),debênture conversível (empréstimo que pode ser convertido em ações),legal-general,Noronha,
convertida na lei ...,which become law No. ...,legal-general,Noronha,
conveyance,"título translativo, título transmissivo",legal-general,Noronha,
conveyances of land,transferência,legal-general,Noronha,
conveying surface,superfície de movimentação,legal-general,Noronha,
convict,condenado,legal-general,Noronha,
"convict (to), sentence (to)",condenar,legal-general,Noronha,
"convict, ex-con","condenado, ex-presidiário",legal-general,Noronha,
convicted,condenado(a),legal-general,Noronha,
conviction,condenação; sentença condenatória,legal-general,Noronha,
convicção,persuasion; belief; assurance.,legal-general,Noronha,
convicção além de dúvida razoável,confidence in the evidence beyond a reasonable doubt,competition,CADE,
convicção íntima,intimate conviction,competition,CADE,
convicção íntima,intime conviction,competition,CADE,
convidar,to invite.,legal-general,Noronha,
convir,to agree; concur.,legal-general,Noronha,
Convite,Invitation to bid,competition,CADE,
convite para contratar P),invitation to bid.,legal-general,Noronha,
convizinhança,neighborhood; vicinity.,legal-general,Noronha,
convizinho,neighbor.,legal-general,Noronha,
convocado,summoned.,legal-general,Noronha,
convocar,to call; to summon.,legal-general,Noronha,
convocar (assembléia),to convene; call; summon; to call upon someone,legal-general,Noronha,
Convocação,Call,legal-mixed,TIPS,
convocação,call; summons; convocation.,legal-general,Noronha,
convocação (em geral),summons; call; call notice (assembléia),legal-general,Noronha,
convolar,convert,competition,CADE,
convolação,conversion,competition,CADE,
convênio,agreement,competition,CADE,
convênio,convention; agreement; articles of agreement,legal-general,Noronha,
convênio,convention; agreement; pact; covenant.,legal-general,Noronha,
convênio,covenant,competition,CADE,
convênio,covenant; agreement,competition,CADE,
convênios,covenants,competition,CADE,
conúbio,matrimony; wedding.,legal-general,Noronha,
coobrigado,co-obligor.,legal-general,Noronha,
coobrigados nos títulos,joint obligors for the securities,legal-general,Noronha,
coolant (for cooling system),líquida (via),legal-general,Noronha,
cooperar,to cooperate; concur; contribute.,legal-general,Noronha,
cooperativa,cooperative,legal-general,Noronha,
cooperativa,cooperative.,legal-general,Noronha,
cooperativa de crédito,credit cooperative.,legal-general,Noronha,
cooperativa de crédito,credit union,legal-general,Noronha,
cooperativa de solidariedade social P),cooperative for social solidarity.,legal-general,Noronha,
cooperação,cooperation,legal-general,Noronha,
cooperação,cooperation; collaboration; concurrence.,legal-general,Noronha,
cooperação jurídica internacional,international judicial cooperation,competition,CADE,
cooperação jurídica internacional,international legal cooperation,competition,CADE,
cooptar,to co-opt.,legal-general,Noronha,
Coordenador,Coordinator,competition,CADE,
Coordenador (COA),Coordinator (COA),competition,CADE,
coordenador da execução,book runner,legal-general,Noronha,
Coordenador de Estudos de Mercado e Advocacia da Concorrência (CEMAC),Department of Market Studies and Competition Advocacy (CEMAC),competition,CADE,
Coordenador de Finanças (COF),Finances Coordinator (COF),competition,CADE,
Coordenador de Logistica (COL),Logistics Coordinator (COL),competition,CADE,
coordenador geral,global coordinator,legal-general,Noronha,
"coordenador geral de software, serviços e aplicações da informática","general coordinator for software, services and informatics uses",legal-general,Noronha,
Coordenador-Geral,Coordinator-General,competition,CADE,
coordenador-geral de análise antitruste,general coordinator of antitrust analysis,competition,CADE,
coordenar,coordinate,competition,CADE,
Coordenação de Contencioso Judicial (CCJ),Department of Judicial Disputes (CCJ),competition,CADE,
Coordenação de Estudos de atos de concentração (CEACO),Department of Merger Studies (CEACO),competition,CADE,
Coordenação de Estudos de Condutas Anticompetitivas (CECAN),Department of Antitrust Practices Studies (CECAN),competition,CADE,
Coordenação de Estudos e Pareceres (CEP),Department of Studies and Expert Opinions (CEP),competition,CADE,
Coordenação de Matéria Administrativa (CMA),Department of Administrative Matters (CMA),competition,CADE,
Coordenação-Geral de Análise Antitrute (CGAA),Antitrust Analysis Unit (CGAA),competition,CADE,
Coordenação-Geral de Gestão Estratégica de Pessoas,Human Resource Management,competition,CADE,
Coordenação-Geral de Gestão Estratégica de Pessoas (CGESP),Department of Human Resources (CGESP),competition,CADE,
"Coordenação-Geral de Orçamento, Finanças e Logística (CGOFL)","Department of Budget, Finance and Logistics (CGOFL)",competition,CADE,
Coordenação-Geral de Tecnologia da Informação,Department of Information Technology,competition,CADE,
Coordenação-Geral de Tecnologia da Informação (CGTI),Department of Information Technology (CGTI),competition,CADE,
Coordenação-Geral Processual,Office of the Coordinator-General of Proceedings,competition,CADE,
Coordenação-Geral Processual (CGP),Office of the Coordinator-General of Proceedings (CGP),competition,CADE,
copiador,copybook.,legal-general,Noronha,
copyright,direitos autorais,legal-general,Noronha,
coragem,courage.,legal-general,Noronha,
cordex fuse,mecha detonante,legal-general,Noronha,
"core fisher, core picker (sondagens)",pescador de testemunhos,legal-general,Noronha,
core recovery,recuperação de testemunhas (sondagem),legal-general,Noronha,
core retriever,recuperador de testemunhos (sondagens),legal-general,Noronha,
cores,veios de cabo (= núcleos),legal-general,Noronha,
coroa,crown; regal power.,legal-general,Noronha,
corpo,body; corpus; corpse; assembly; corporation.,legal-general,Noronha,
corpo certo,corpus.,legal-general,Noronha,
corpo constituído,body politic; corporate body.,legal-general,Noronha,
corpo de delito,body of the offense; corpus delicti.,legal-general,Noronha,
corpo de jurados,The Jury,legal-general,Noronha,
corpo docente,faculty.,legal-general,Noronha,
corporate bank,banco (cuida de pessoas jurídicas),legal-general,Noronha,
corporate banking,área do banco cuidando de pessoas jurídicas,legal-general,Noronha,
corporate bond,obrigação de uma empresa,legal-general,Noronha,
corporate books and records,livros sociais,legal-general,Noronha,
corporate by-laws,estatuto social,legal-general,Noronha,
corporate documents,documentos societários,legal-general,Noronha,
corporate entity,personalidade jurídica (estado da pessoa jurídica),legal-general,Noronha,
corporate existence,existência societária,legal-general,Noronha,
corporate income tax,imposto sobre a renda das sociedades,legal-general,Noronha,
corporate name; trade name,denominação social; razão social,legal-general,Noronha,
corporate power,poder das empresas,legal-general,Noronha,
corporate powers,"poderes legais, poderes societários",legal-general,Noronha,
corporate resolution,deliberação social,legal-general,Noronha,
corporate seal,selo corporativo/ selo oficial,legal-general,Noronha,
corporate secretary,secretário da sociedade,legal-general,Noronha,
corporate status,situação social,legal-general,Noronha,
corporate target,empresa-alvo/ empresa visada,legal-general,Noronha,
corporate target’s cooperation,cooperação da empresa-alvo,legal-general,Noronha,
corporation,"companhia, sociedade anônima, sociedade por ações, pessoa jurídica",legal-general,Noronha,
corporation,"sociedade, empresa",legal-general,Noronha,
"corporation (generally multinationals, transnationals)",sociedade anônima tem common shares (ordinárias) with voting rights (direito a voto); tem preferred shares (preferenciais em relação ao pagamento de dividendos não têm voting rights),legal-general,Noronha,
"corporation (that is, a life of its own)",tem existência distinta dos seus membros,legal-general,Noronha,
corporation duly organized validly existing and in good standing under the laws of,"sociedade devidamente constituída, validamente existente e em situação regular nos termos das leis",legal-general,Noronha,
corporation or corporate laws,Lei das S.A.,legal-general,Noronha,
corporation or other association,sociedade ou outra associação,legal-general,Noronha,
corporation – any legal entity,c,legal-general,Noronha,
"corporation, corporate entity, legal entity, corporate body, corporate, company, artificial person",pessoa jurídica,legal-general,Noronha,
corporação,corporation; association; body; lobby; guild.,legal-general,Noronha,
corporeal possession,posse corpórea,legal-general,Noronha,
corporeal property; tangible property,propriedade corpórea,legal-general,Noronha,
corporeal thing,coisa corpórea; bem corpóreo,legal-general,Noronha,
corrected probability,probabilidade corrigida,legal-general,Noronha,
correction of the police report,revisão do boletim de ocorrência (B.O.),legal-general,Noronha,
corredor,aisle; alley; passageway.,legal-general,Noronha,
Corregedor,Internal Affairs Officer,competition,CADE,
corregedor (ria),magistrate,legal-general,Noronha,
Corregedor Geral da Justiça,Magistrate in charge of Administrative matters,legal-general,Noronha,
corregedoria,internal affairs office,competition,CADE,
Corregedoria (CORREG),Internal Affairs Office (CORREG),competition,CADE,
correio de voz (telecom.),voice mail,legal-general,Noronha,
Correios,"Correios, the Brazilian postal service,",competition,CADE,
correios,post; mail.,legal-general,Noronha,
Correios de Portugal CTT) P),The Portuguese Post Office.,legal-general,Noronha,
correlação de testes,correlation of tests,legal-general,Noronha,
corrente,chain letter,legal-general,Noronha,
corrente doutrinária,school of thought,legal-general,Noronha,
correntista,account holder.,legal-general,Noronha,
correr,to run; accrue.,legal-general,Noronha,
correr por conta de,to be for the accounts of,legal-general,Noronha,
corresponde ao ABC – Audit Bureau of Circulation,IVC – Instituto Verificador de Circulação,legal-general,Noronha,
correspondente,correspondent.,legal-general,Noronha,
corresponder a,consist of,legal-general,Noronha,
correspondência,correspondence; communication; letters; mail.,legal-general,Noronha,
corretagem,brokerage,legal-general,Noronha,
corretagem,brokerage.,legal-general,Noronha,
corretor,broker.,legal-general,Noronha,
corretor,stock jobber; broker,legal-general,Noronha,
corretor com telefone no pregão,stock jobber,legal-general,Noronha,
corretor de câmbio; corretor de valores,exchange broker,legal-general,Noronha,
corretor de imóveis,real estate broker,competition,CADE,
corretor de imóveis,real estate broker; realtor.,legal-general,Noronha,
corretor de mercadorias,commodities broker.,legal-general,Noronha,
corretor de mercadorias,commodity broker,legal-general,Noronha,
corretor de navios,shipbroker.,legal-general,Noronha,
corretor de seguros,insurance broker,legal-general,Noronha,
corretor de seguros,insurance broker.,legal-general,Noronha,
corretor de valores,exchange broker,legal-general,Noronha,
corretor de valores,stock-broker; jobber UK).,legal-general,Noronha,
corretor de valores mobiliários,securities broker; jobber UK).,legal-general,Noronha,
corretora de seguro,insurance brokerage company,legal-general,Noronha,
corretora de valores mobiliários,brokerage firm,legal-general,Noronha,
corretora; intermediário; concessionário,dealer; securities firm,legal-general,Noronha,
correção,correction; rectification.,legal-general,Noronha,
correção monetária,indexation; adjustment for currency devaluation; monetary correction.,legal-general,Noronha,
correção monetária,monetary restatement; monetary correction; restatement; inflation adjustment; indexing; money value adjustment,legal-general,Noronha,
correção monetária de balanço,balance sheet monetary correction,legal-general,Noronha,
correção monetária do capital,capital restatement,legal-general,Noronha,
correção monetária patrimonial,equity monetary adjustment,legal-general,Noronha,
correção monetária pela legislação societária,monetary restatement by corporate law,legal-general,Noronha,
correção; revalorização monetária,monetary correction; currency revaluation,legal-general,Noronha,
corrida,race; run.,legal-general,Noronha,
corrida aos bancos,bank run.,legal-general,Noronha,
corroborar,to corroborate; confirm; support.,legal-general,Noronha,
corromper,to corrupt; bribe; seduce.,legal-general,Noronha,
corrompido,corrupt; crooked; dishonest.,legal-general,Noronha,
corrosive sea air,maresia,legal-general,Noronha,
corrupção,corruption; perversion; taint.,legal-general,Noronha,
corrupção de menores,enticement.,legal-general,Noronha,
corsário,corsair; privateer.,legal-general,Noronha,
cortadeira (serra dupla),cutter (double saw),legal-general,Noronha,
cortadora de barras fabricação caseira,"bar cutter, domestic manufacturing",legal-general,Noronha,
cortadora de disco,disc cutter,legal-general,Noronha,
"cortadora de fios, caseira para cortar fio diâmetro __","seal-pack pneumatic plasticizing machine, __ welds/hour",legal-general,Noronha,
"cortadora de tarugos manual, caseira",domestic manual vise cutter,legal-general,Noronha,
cortante,cutting; sharp.,legal-general,Noronha,
cortar,to slash,legal-general,Noronha,
corte,court.,legal-general,Noronha,
corte (arquit.),section,legal-general,Noronha,
Corte de Justiça Europeia em Aalborg Portland A/S and others v Commission,European Court of Justice in the case of Aalborg Portland A/S and others v. Commission,competition,CADE,
corte marcial,martial court.,legal-general,Noronha,
corte transversal (naveg.),cross section,legal-general,Noronha,
corte/redução em investimentos,investment cutbacks,legal-general,Noronha,
cortesia,courtesy.,legal-general,Noronha,
cortiço,tenement house.,legal-general,Noronha,
cost,"custo, gasto, dispêndio, despesa",legal-general,Noronha,
cost adaptation,ajustamento de custo,legal-general,Noronha,
cost effectiveness,relação custo-benefício,legal-general,Noronha,
cost of living index,índice dos custos de vida,legal-general,Noronha,
costa,coast; shore; seashore.,legal-general,Noronha,
costado de bombordo (naveg.),board side,legal-general,Noronha,
costado de estibordo,starboard side,legal-general,Noronha,
costly,dispendioso,legal-general,Noronha,
costs and expenses,custos e despesas,legal-general,Noronha,
costs of clearance of debris,custos de trabalho de desentulho,legal-general,Noronha,
costs of treatment,custos de tratamento,legal-general,Noronha,
costume,custom; habit; practice; usage.,legal-general,Noronha,
costume comercial,trade usage.,legal-general,Noronha,
cota,membership interest,competition,CADE,
cota,quota; assessment.,legal-general,Noronha,
cota de exportação,export quota,legal-general,Noronha,
cota fiscal,tax installment,legal-general,Noronha,
cota nos autos,written annotation in the case record,legal-general,Noronha,
cota-capital,equity; quota.,legal-general,Noronha,
cota-parte,share; quota.,legal-general,Noronha,
cotar,to quote; rate.,legal-general,Noronha,
cotação,price; quotation; listed price; credit; rating.,legal-general,Noronha,
cotação de preços,pricing,legal-general,Noronha,
cotização,assessment; quota.,legal-general,Noronha,
counter floor,piso falso,legal-general,Noronha,
counter-arguments,contra-razões,legal-general,Noronha,
